municipio,data,taxa
170770,2021-12-01,38.23661718398561
170820,2021-12-01,45.211896720775684
170825,2021-12-01,49.7131931166348
170830,2021-12-01,25.31152647975078
170900,2021-12-01,36.44923684410358
170930,2021-12-01,41.66193235617165
170950,2021-12-01,37.09232369837608
170980,2021-12-01,33.524904214559385
171050,2021-12-01,40.15526703252577
171070,2021-12-01,8.619203585588691
171090,2021-12-01,36.706869428421605
171110,2021-12-01,16.58374792703151
171150,2021-12-01,23.04147465437788
171180,2021-12-01,13.799448022079117
171190,2021-12-01,29.30874258345843
171195,2021-12-01,38.03131991051454
171200,2021-12-01,43.7636761487965
171215,2021-12-01,15.120967741935484
171240,2021-12-01,24.148108398175474
171245,2021-12-01,40.625
171250,2021-12-01,24.381095273818456
171270,2021-12-01,21.637216011539852
171280,2021-12-01,34.5821325648415
171320,2021-12-01,68.6407987292943
171330,2021-12-01,36.897645930189654
171360,2021-12-01,36.665851869958445
171370,2021-12-01,43.271311120726956
171380,2021-12-01,24.890190336749633
171395,2021-12-01,35.881865857024565
171420,2021-12-01,49.697493517718236
171430,2021-12-01,45.06892895015907
171488,2021-12-01,29.13267854170135
171500,2021-12-01,22.999080036798528
171510,2021-12-01,47.19101123595505
171515,2021-12-01,4.288164665523156
171525,2021-12-01,36.127167630057805
171550,2021-12-01,53.38078291814947
171570,2021-12-01,16.041065126724416
171575,2021-12-01,33.79256563556017
171610,2021-12-01,40.36480645836903
171620,2021-12-01,39.32476501055055
171630,2021-12-01,38.89457523029683
171650,2021-12-01,80.92237181323402
171660,2021-12-01,40.84694898299433
171665,2021-12-01,34.25892535160476
171670,2021-12-01,39.61376578360981
171700,2021-12-01,36.248300860897146
171720,2021-12-01,36.20803159973667
171750,2021-12-01,66.41123882503193
171780,2021-12-01,10.902747492368077
171790,2021-12-01,36.62109375
171800,2021-12-01,25.0
171820,2021-12-01,74.60181282405162
171830,2021-12-01,21.02067032582039
171840,2021-12-01,38.167938931297705
171845,2021-12-01,69.19155134741442
171850,2021-12-01,36.45477329687856
171855,2021-12-01,44.46326487402075
171865,2021-12-01,18.091361374943464
171870,2021-12-01,34.73428273706148
171875,2021-12-01,24.622960911049553
171880,2021-12-01,24.61033634126333
171884,2021-12-01,53.39661821417977
171886,2021-12-01,32.56056264652253
171888,2021-12-01,62.19960418433701
171889,2021-12-01,45.70004154549232
171890,2021-12-01,61.67763157894737
171900,2021-12-01,75.13661202185791
172000,2021-12-01,51.383399209486164
172010,2021-12-01,40.31519149715961
172015,2021-12-01,49.68944099378882
172020,2021-12-01,8.838891120932102
172025,2021-12-01,3.219575016097875
172030,2021-12-01,24.49979583503471
172049,2021-12-01,36.38253638253639
172065,2021-12-01,53.191489361702125
172080,2021-12-01,17.84718349135527
172085,2021-12-01,59.79073243647235
172090,2021-12-01,34.775433219379934
172093,2021-12-01,22.904260192395785
172097,2021-12-01,38.85552808194984
172100,2021-12-01,38.20021764869203
172110,2021-12-01,65.03642039542143
172120,2021-12-01,53.023663453111304
172125,2021-12-01,51.229508196721305
172130,2021-12-01,14.36265709156194
172208,2021-12-01,42.434015106509385
172210,2021-12-01,59.1304347826087
170025,2022-01-01,53.313023610053314
170030,2022-01-01,27.385413663880083
170035,2022-01-01,37.97228023542814
170040,2022-01-01,33.70951194489228
170070,2022-01-01,56.87877710629221
170100,2022-01-01,66.25999158603281
170105,2022-01-01,46.51162790697674
170110,2022-01-01,22.1953188054883
170130,2022-01-01,58.324496288441146
170190,2022-01-01,51.61830357142857
170200,2022-01-01,63.29869819658426
170210,2022-01-01,54.00228778164986
170215,2022-01-01,45.084099185018204
170220,2022-01-01,32.80929596719071
170230,2022-01-01,103.37910816232063
170240,2022-01-01,42.918454935622314
170255,2022-01-01,46.37925582375883
170270,2022-01-01,13.178703215603585
170290,2022-01-01,47.38380885169876
170300,2022-01-01,30.73081724767118
170305,2022-01-01,35.59693318729463
170307,2022-01-01,29.774564015312635
170310,2022-01-01,48.08548530721282
170320,2022-01-01,54.249547920434
170330,2022-01-01,42.99394176275161
170360,2022-01-01,31.67420814479638
170370,2022-01-01,41.90198578976134
170380,2022-01-01,29.14702100300043
170382,2022-01-01,39.59524857017158
170384,2022-01-01,21.888085268366957
170386,2022-01-01,46.552870760363554
170388,2022-01-01,57.42725880551302
170389,2022-01-01,38.844379703811605
170390,2022-01-01,27.164070988772185
170410,2022-01-01,34.32887058015791
170460,2022-01-01,48.848569434752264
170510,2022-01-01,36.16636528028933
170550,2022-01-01,57.71334792122538
170555,2022-01-01,24.585125998770742
170560,2022-01-01,44.455421091627564
170600,2022-01-01,26.25590757920532
170610,2022-01-01,16.692168590902767
170625,2022-01-01,17.26121979286536
170650,2022-01-01,55.6527269836222
170700,2022-01-01,45.347441426221486
170710,2022-01-01,68.1044267877412
170720,2022-01-01,16.908552909680147
170730,2022-01-01,32.23033949290932
170740,2022-01-01,28.97500905469033
170755,2022-01-01,21.091484313208543
170765,2022-01-01,47.91107704101188
170770,2022-01-01,53.33635950975942
170820,2022-01-01,48.2829707589649
170825,2022-01-01,47.77655273796398
170830,2022-01-01,25.41544477028348
170900,2022-01-01,31.072375899962108
170930,2022-01-01,37.33031674208145
170950,2022-01-01,36.208732694355696
170980,2022-01-01,48.2392667631452
171050,2022-01-01,45.68664337543671
171070,2022-01-01,29.67877094972067
171090,2022-01-01,31.43006809848088
171110,2022-01-01,37.328909166321026
171150,2022-01-01,28.33590932509016
171180,2022-01-01,32.13957759412305
171190,2022-01-01,31.187192459629912
171195,2022-01-01,33.70786516853933
171200,2022-01-01,58.42558425584256
171215,2022-01-01,25.290844714213456
171240,2022-01-01,49.20721705850191
171245,2022-01-01,43.7636761487965
171250,2022-01-01,31.835205992509362
171270,2022-01-01,31.960227272727273
171280,2022-01-01,40.46242774566474
171320,2022-01-01,58.79666628610572
171330,2022-01-01,45.74632922600163
171360,2022-01-01,59.656972408650255
171370,2022-01-01,55.55555555555556
171380,2022-01-01,31.254650989730614
171395,2022-01-01,35.73391973611875
171420,2022-01-01,40.056295333982895
171430,2022-01-01,31.496062992125985
171488,2022-01-01,37.61912723624812
171500,2022-01-01,25.605214152700185
171510,2022-01-01,13.461969934933812
171515,2022-01-01,34.96503496503497
171525,2022-01-01,21.897810218978105
171550,2022-01-01,44.014084507042256
171570,2022-01-01,29.079159935379646
171575,2022-01-01,155.37276406841625
171610,2022-01-01,46.397174844090465
171620,2022-01-01,95.58401835213154
171630,2022-01-01,58.0070437124508
171650,2022-01-01,66.30925507900677
171660,2022-01-01,49.75124378109452
171665,2022-01-01,18.096272167933407
171670,2022-01-01,46.71748217359233
171700,2022-01-01,49.762497172585384
171720,2022-01-01,36.999663639421456
171750,2022-01-01,104.40539852304559
